step,loss_to
456,0.083742
457,0.083692
458,0.083642
459,0.083592
460,0.083542
461,0.083492
462,0.083443
463,0.083393
464,0.083344
465,0.083295
466,0.083246
467,0.083197
468,0.083148
469,0.083099
470,0.083050
471,0.083002
472,0.082953
473,0.082905
474,0.082857
475,0.082809
476,0.082761
477,0.082713
478,0.082666
479,0.082618
480,0.082571
481,0.082523
482,0.082476
483,0.082429
484,0.082382
485,0.082335
486,0.082289
487,0.082242
488,0.082195
489,0.082149
490,0.082103
491,0.082056
492,0.082010
493,0.081964
494,0.081918
495,0.081873
496,0.081827
497,0.081781
498,0.081736
499,0.081690
500,0.081645
501,0.081600
502,0.081555
503,0.081510
504,0.081465
505,0.081420
506,0.081375
507,0.081331
508,0.081286
509,0.081242
510,0.081198
511,0.081153
512,0.081109
513,0.081065
514,0.081021
515,0.080977
516,0.080933
517,0.080890
518,0.080846
519,0.080803
520,0.080759
521,0.080716
522,0.080673
523,0.080629
524,0.080586
525,0.080543
526,0.080501
527,0.080458
528,0.080415
529,0.080372
530,0.080330
531,0.080287
532,0.080245
533,0.080202
534,0.080160
535,0.080118
536,0.080076
537,0.080034
538,0.079992
539,0.079950
540,0.079908
541,0.079867
542,0.079825
543,0.079784
544,0.079742
545,0.079701
546,0.079659
547,0.079618
548,0.079577
549,0.079536
550,0.079495
551,0.079454
552,0.079413
553,0.079372
554,0.079332
555,0.079291
556,0.079250
557,0.079210
558,0.079169
559,0.079129
560,0.079089
561,0.079048
562,0.079008
563,0.078968
564,0.078928
565,0.078888
566,0.078848
567,0.078808
568,0.078769
569,0.078729
570,0.078689
571,0.078650
572,0.078610
573,0.078571
574,0.078531
575,0.078492
576,0.078453
577,0.078414
578,0.078375
579,0.078335
580,0.078296
581,0.078258
582,0.078219
583,0.078180
584,0.078141
585,0.078102
586,0.078064
587,0.078025
588,0.077987
589,0.077948
590,0.077910
591,0.077871
592,0.077833
593,0.077795
594,0.077757
595,0.077719
596,0.077681
597,0.077643
598,0.077605
599,0.077567
600,0.077529
601,0.077491
602,0.077454
603,0.077416
604,0.077378
605,0.077341
606,0.077303
607,0.077266
608,0.077228
609,0.077191
610,0.077154
611,0.077117
612,0.077079
613,0.077042
614,0.077005
615,0.076968
616,0.076931
617,0.076894
618,0.076857
619,0.076821
620,0.076784
621,0.076747
622,0.076710
623,0.076674
624,0.076637
625,0.076601
626,0.076564
627,0.076528
628,0.076491
629,0.076455
630,0.076419
631,0.076383
632,0.076347
633,0.076310
634,0.076274
635,0.076238
636,0.076202
637,0.076166
638,0.076130
639,0.076095
640,0.076059
641,0.076023
642,0.075987
643,0.075952
644,0.075916
645,0.075880
646,0.075845
647,0.075809
648,0.075774
649,0.075739
650,0.075703
651,0.075668
652,0.075633
653,0.075597
654,0.075562
655,0.075527
656,0.075492
657,0.075457
658,0.075422
659,0.075387
660,0.075352
661,0.075317
662,0.075282
663,0.075247
664,0.075213
665,0.075178
666,0.075143
667,0.075109
668,0.075074
669,0.075039
670,0.075005
671,0.074970
672,0.074936
673,0.074902
674,0.074867
675,0.074833
676,0.074799
677,0.074764
678,0.074730
679,0.074696
680,0.074662
681,0.074628
682,0.074594
683,0.074560
684,0.074526
685,0.074492
686,0.074458
687,0.074424
688,0.074390
689,0.074356
690,0.074323
691,0.074289
692,0.074255
693,0.074221
694,0.074188
695,0.074154
696,0.074121
697,0.074087
698,0.074054
699,0.074020
700,0.073987
701,0.073954
702,0.073920
703,0.073887
704,0.073854
705,0.073820
706,0.073787
707,0.073754
708,0.073721
709,0.073688
710,0.073655
711,0.073622
712,0.073589
713,0.073556
714,0.073523
715,0.073490
716,0.073457
717,0.073424
718,0.073392
719,0.073359
720,0.073326
721,0.073293
722,0.073261
723,0.073228
724,0.073195
725,0.073163
726,0.073130
727,0.073098
728,0.073065
729,0.073033
730,0.073000
731,0.072968
732,0.072936
733,0.072903
734,0.072871
735,0.072839
736,0.072807
737,0.072774
738,0.072742
739,0.072710
740,0.072678
741,0.072646
742,0.072614
743,0.072582
744,0.072550
745,0.072518
746,0.072486
747,0.072454
748,0.072422
749,0.072390
750,0.072359
751,0.072327
752,0.072295
753,0.072263
754,0.072232
755,0.072200
756,0.072168
757,0.072137
758,0.072105
759,0.072074
760,0.072042
761,0.072011
762,0.071979
763,0.071948
764,0.071916
765,0.071885
766,0.071853
767,0.071822
768,0.071791
769,0.071760
770,0.071728
771,0.071697
772,0.071666
773,0.071635
774,0.071604
775,0.071572
776,0.071541
777,0.071510
778,0.071479
779,0.071448
780,0.071417
781,0.071386
782,0.071355
783,0.071324
784,0.071293
785,0.071263
786,0.071232
787,0.071201
788,0.071170
789,0.071139
790,0.071109
791,0.071078
792,0.071047
793,0.071017
794,0.070986
795,0.070955
796,0.070925
797,0.070894
798,0.070864
799,0.070833
800,0.070803
801,0.070772
802,0.070742
803,0.070711
804,0.070681
805,0.070650
806,0.070620
807,0.070590
808,0.070559
809,0.070529
810,0.070499
811,0.070469
812,0.070439
813,0.070408
814,0.070378
815,0.070348
816,0.070318
817,0.070288
818,0.070258
819,0.070228
820,0.070198
821,0.070168
822,0.070138
823,0.070108
824,0.070078
825,0.070048
826,0.070018
827,0.069988
828,0.069958
829,0.069928
830,0.069899
831,0.069869
832,0.069839
833,0.069809
834,0.069780
835,0.069750
836,0.069720
837,0.069691
838,0.069661
839,0.069631
840,0.069602
841,0.069572
842,0.069543
843,0.069513
844,0.069484
845,0.069454
846,0.069425
847,0.069395
848,0.069366
849,0.069336
850,0.069307
851,0.069278
852,0.069248
853,0.069219
854,0.069190
855,0.069160
856,0.069131
857,0.069102
858,0.069073
859,0.069044
860,0.069014
861,0.068985
862,0.068956
863,0.068927
864,0.068898
865,0.068869
866,0.068840
867,0.068811
868,0.068782
869,0.068753
870,0.068724
871,0.068695
872,0.068666
873,0.068637
874,0.068608
875,0.068579
876,0.068550
877,0.068521
878,0.068493
879,0.068464
880,0.068435
881,0.068406
882,0.068377
883,0.068349
884,0.068320
885,0.068291
886,0.068263
887,0.068234
888,0.068205
889,0.068177
890,0.068148
891,0.068120
892,0.068091
893,0.068062
894,0.068034
895,0.068005
896,0.067977
897,0.067948
898,0.067920
899,0.067892
900,0.067863
901,0.067835
902,0.067806
903,0.067778
904,0.067750
905,0.067721
906,0.067693
907,0.067665
908,0.067636
909,0.067608
910,0.067580
911,0.067552
912,0.067523
913,0.067495
914,0.067467
915,0.067439
916,0.067411
917,0.067383
918,0.067355
919,0.067326
920,0.067298
921,0.067270
922,0.067242
923,0.067214
924,0.067186
