step,loss_pa,loss_to
0,1.0820677280426025,0.263488
1,1.081529140472412,0.260626
2,1.0810058116912842,0.257880
3,1.080560564994812,0.255247
4,1.0801351070404053,0.252723
5,1.079688549041748,0.250306
6,1.0792498588562012,0.247990
7,1.0787912607192993,0.245772
8,1.0783467292785645,0.243647
9,1.077911138534546,0.241610
10,1.0774658918380737,0.239659
11,1.077033519744873,0.237788
12,1.0765867233276367,0.235994
13,1.0761700868606567,0.234273
14,1.0757126808166504,0.232619
15,1.0752900838851929,0.231028
16,1.074851155281067,0.229495
17,1.0744144916534424,0.228016
18,1.0739719867706299,0.226584
19,1.073529601097107,0.225197
20,1.0730998516082764,0.223850
21,1.072668433189392,0.222538
22,1.0722424983978271,0.221259
23,1.0718190670013428,0.220008
24,1.0713818073272705,0.218784
25,1.0709397792816162,0.217583
26,1.0705126523971558,0.216404
27,1.0700868368148804,0.215246
28,1.0696616172790527,0.214106
29,1.0692474842071533,0.212984
30,1.0688329935073853,0.211879
31,1.0683954954147339,0.210789
32,1.0679820775985718,0.209714
33,1.067550539970398,0.208654
34,1.0671299695968628,0.207607
35,1.0667142868041992,0.206573
36,1.0662938356399536,0.205552
37,1.0658693313598633,0.204543
38,1.0654689073562622,0.203546
39,1.065053105354309,0.202559
40,1.0646405220031738,0.201583
41,1.0642304420471191,0.200616
42,1.0638190507888794,0.199659
43,1.0634174346923828,0.198711
44,1.063021183013916,0.197771
45,1.0626269578933716,0.196838
46,1.0622167587280273,0.195913
47,1.061822772026062,0.194994
48,1.0614118576049805,0.194081
49,1.0610090494155884,0.193174
50,1.0606253147125244,0.192272
51,1.0602329969406128,0.191375
52,1.059820532798767,0.190482
53,1.0594226121902466,0.189594
54,1.0590252876281738,0.188710
55,1.058650016784668,0.187829
56,1.0582629442214966,0.186952
57,1.0578701496124268,0.186078
58,1.0574793815612793,0.185207
59,1.0570955276489258,0.184339
60,1.0566935539245605,0.183474
61,1.0563205480575562,0.182611
62,1.055918574333191,0.181751
63,1.0555338859558105,0.180894
64,1.0551363229751587,0.180039
65,1.0547620058059692,0.179186
66,1.0543709993362427,0.178336
67,1.0539655685424805,0.177488
68,1.0535774230957031,0.176642
69,1.0531885623931885,0.175798
70,1.0527900457382202,0.174957
71,1.052394986152649,0.174118
72,1.0520076751708984,0.173282
73,1.0516209602355957,0.172448
74,1.0512406826019287,0.171617
75,1.0508531332015991,0.170788
76,1.05048406124115,0.169963
77,1.0500974655151367,0.169140
78,1.0497349500656128,0.168320
79,1.0493547916412354,0.167504
80,1.0489734411239624,0.166691
81,1.0486022233963013,0.165881
82,1.0482196807861328,0.165075
83,1.0478556156158447,0.164273
84,1.0474746227264404,0.163474
85,1.047112226486206,0.162680
86,1.0467250347137451,0.161889
87,1.0463688373565674,0.161103
88,1.0459914207458496,0.160322
89,1.0456081628799438,0.159545
90,1.0452286005020142,0.158773
91,1.0448557138442993,0.158005
92,1.0444828271865845,0.157243
